"('May Christiansen I', '+1 (317) 956-4887', 'Mozilla/5.0 (Macintosh; PPC Mac OS X 10_5_8 rv:5.0; sl-SI) AppleWebKit/533.11.7 (KHTML, like Gecko) Version/4.0 Safari/533.11.7')"
"('Rafael Homenick', '+1.502.692.4732', 'Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/531.23.3 (KHTML, like Gecko) Version/4.0 Safari/531.23.3')"
"('Dr. Merl Crist DDS', '1-430-428-2004', 'Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/533.30.1 (KHTML, like Gecko) Version/4.0 Safari/533.30.1')"
"('Maida Kilback', '1-391-454-9281', 'Mozilla/5.0 (Windows; U; Windows NT 5.1) AppleWebKit/534.22.4 (KHTML, like Gecko) Version/4.0 Safari/534.22.4')"
"('Isobel Bode', '+1 (349) 247-5947', 'Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/534.43.4 (KHTML, like Gecko) Version/4.0 Safari/534.43.4')"
"('Brenden Feeney', '+1-321-340-4248', 'Mozilla/5.0 (Macintosh; PPC Mac OS X 10_5_6 rv:3.0; sl-SI) AppleWebKit/532.15.1 (KHTML, like Gecko) Version/4.0 Safari/532.15.1')"
"('Zita Green Sr.', '1-442-547-5578', 'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_6 rv:5.0; en-US) AppleWebKit/532.10.4 (KHTML, like Gecko) Version/4.0 Safari/532.10.4')"
"('Serenity Luettgen', '+1-375-953-2371', 'Mozilla/5.0 (Windows; U; Windows NT 5.01) AppleWebKit/531.39.2 (KHTML, like Gecko) Version/4.0 Safari/531.39.2')"
"('Kathlyn Schoen', '1-731-355-5220', 'Mozilla/5.0 (Windows; U; Windows NT 5.01) AppleWebKit/535.30.6 (KHTML, like Gecko) Version/4.0 Safari/535.30.6')"
"('Millie Schumm', '+18283375760', 'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_7 rv:3.0; sl-SI) AppleWebKit/534.44.3 (KHTML, like Gecko) Version/4.0 Safari/534.44.3')"
